title	image	caption	type	mass	volume	craft	price	hitpoints	nutrition	healing	ammo	damage	firerate	trigger	reload	range	spread	speed	reach
PRO-1 Rocket Launcher		a powerful but slow weapon	Weapon	25 kg 	125 L 						 Rocket 	500 (explosive) 	240 RPM 	Semi 	6 sec 	800m 	3° / 0.1°		 
RO-1 Rocket Launcher		a powerful but slow weapon	Weapon	25 kg 	125 L 						 Rocket 	500 (explosive) 	240 RPM 	Semi 	4 sec 	800m 	3° / 1°		 
S-10 Pistol		standard issue sidearm 	Weapon	1 kg 	6 L	4 sec					 S-10 Magazine	10.5 / 21 / 63 (impact) 	450 RPM 	Semi 	1.4 sec 	250m 	0.9° / 0.3°		 
S-10E Pistol		elite handgun 	Weapon	1 kg 	6 L						 S-10E Magazine	13 / 26 / 78 (impact) 	450 RPM 	Semi 	1.4 sec 	250m 	0.9° / 0.2°		 
S-20A Pistol		full automatic handgun 	Weapon	1 kg 	8 L						 S-20A Magazine	9 / 18 / 54 (impact) 	900 RPM 	Automatic 	1.8 sec 	250m 	0.9° / 0.3°		 
Algae		Used in Food Processor	Ingredient	4.5 kg	5 L				0	0									
Vegetables		Used in Food Processor	Ingredient	3 kg	2.5 L				5	10									
Mushrooms		Used in Food Processor	Ingredient	1.25 kg	8 L				6	10									
Fruits		Used in Food Processor	Ingredient	4 kg	3 L				6	10									
Grains		Used in Food Processor	Ingredient	5 kg 	2 L				0	0									
Mammal Meat (Cooked)		Used in Food Processor	Ingredient	3.75 kg	0.88 L				18	10									
Insect Meat (Cooked)		Used in Food Processor	Ingredient	3 kg	1.4 L				14	10									
Mammal Meat (Raw)		Used in Food Processor	Ingredient	5 kg	1.15 L				-36	-36									
Insect Meat (Raw)		Used in Food Processor	Ingredient	4 kg	2 L				-36	-36									
Meal Pack (Kelp Crisps)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				12	10									
Meal Pack (Fruit Bar)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				18	10									
Meal Pack (Garden Slaw)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				22	10									
Meal Pack (Red Pellets)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				23	10									
Meal Pack (Chili)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				30	10									
Meal Pack (Ramen)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				36	10									
Meal Pack (Flatbread)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				34	10									
Meal Pack (Fruit Pastry)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				40	10									
Meal Pack (Veggie Burger)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				46	10									
Meal Pack (Green Pellets)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				48	10									
Meal Pack (Curry)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				48	10									
Meal Pack (Dumplings)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				51	10									
Meal Pack (Spaghetti)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				71	10									
Meal Pack (Lasagna)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				75	10									
Meal Pack (Burrito)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				89	10									
Meal Pack (Frontier Stew)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				94	10									
Meal Pack (Seared Sabiroid)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				100	10									
Meal Pack (Steak Dinner)		Food restores nutrition and health	Food	1.5 kg 	1.25 L				100	10									
Fruit Seeds		Used to farm fruits	Seed	0.12 kg	0.10 L														
Mushroom Spores		Used to farm mushrooms	Seed	0.12 kg	0.10 L														
Vegetable Seeds		Used to farm vegetables	Seed	0.12 kg	0.10 L														
Grain Seeds		Used to farm grains	Seed	0.12 kg	0.10 L														
